District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden (M.
Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,915,890.02,1311.00,60.34,46.70,50.86,224.66,248.30,196.37,285,295.00,247.23
2,Barishal,1437,850.04,934.00,4.77,0.00,0.00,1224.23,799.00,902.27,1229,799.00,902.27
3,Bhola,249.83,200.33,193.00,3.90,2.79,0.00,546.50,322.31,430.42,550.40,325.10,325.10
4,Jhallokati,1621,1620.20,644.00,43.20,43.31,45.60,339.80,364.69,380.12,383,408.00,425.72
5,Patuakhali,618,560.00,231.00,0,0.00,0.00,284,329.00,319.31,284,329.00,319.31
6,Pirojpur,167.47,148.07,127.00,21.96,28.20,27.00,485.46,473.58,461.13,507.42,501.78,488.13
Barishal Division,,5008.3,4268.66,3440.00,134.17,121.00,123.46,3104.65,2536.88,2689.62,3238.82,2657.88,2813.08
7,Bandarban,3727,3730.22,727.29,306.17,162.72,162.72,157.83,303.36,158.39,464,466.08,321.11
8,Brahmanbaria,207,208.91,182.29,0,0.00,0.00,1469,1460.63,1807.35,1469,1460.63,1807.35
9,Chandpur,60,70.43,53.05,35.26,59.60,66.80,337.74,687.46,700.41,373,747.06,767.21
10,Chattogram,610.90,787.31,1666.39,5381.06,2888.91,6.45,678.06,1639.85,2.34,6059.12,4528.76,8.79
11,Cumilla,1584,1568.26,606.85,543.31,541.13,581.64,1579.69,1582.27,1592.98,2123,2123.40,2174.62
12,Cox’s Bazar,647,690.22,322.25,265.64,247.12,361.74,689.36,682.77,947.75,955,929.89,1309.49
13,Feni,75,78.23,754.60,23.95,3.35,378.51,127.05,147.53,574.58,151,150.88,953.09
14,Khagrachari,707,715.28,76.40,349.65,396.85,4.57,550.35,605.92,223.92,900,1002.77,228.49
15,Lakshmipur,75,93.05,108.63,0,0.00,0.00,491,739.81,693.03,491,739.81,693.03
16,Noakhali,109,124.57,109.06,0,0.00,0.00,603,475.23,451.09,603,475.23,451.09
17,Rangamati,1566,1466.10,789.01,2338.40,2202.30,2226.94,1596.60,1452.86,1457.56,3935,3655.16,3684.50
Chattogram Division,,9367.90,9532.58,4668.53,9243.44,6501.98,3789.37,8279.68,9777.69,8609.40,17523.12,16279.67,12398.77
18,Dhaka,359.54,332.98,489.81,4410.94,3722.07,5671.00,4843.06,2996.25,4846.18,9254,6718.32,"10517.1
8"
19,Faridpur,129,111.00,160.00,43.21,96.32,117.37,239.97,223.55,319.85,283.18,319.87,437.22
20,Gazipur,228,238.00,312.50,184.84,448.36,472.05,363.16,885.92,557.65,548,1334.28,1029.70
21,Gopalganj,1103.42,1126.89,184.23,0,0.00,708.27,502.80,1057.06,424.72,502.80,1057.06,1132.99
22,Kishoreganj,138.69,120.95,105.00,21.26,59.44,24.82,928.94,1590.60,771.24,950.2,1650.04,796.06
23,Madaripur,37,39.43,26.12,10.03,24.95,12.76,296.97,431.43,229.72,307,456.38,242.48
24,Manikganj,276,334.49,221.81,951,1750.53,756.17,497,989.62,597.24,1448,2740.15,1353.41
25,Munshiganj,52.76,51.95,66.13,0,0.00,91.67,121.75,249.60,216.15,121.75,249.60,307.82
26,Narayanganj,305.78,3315.00,83.42,36.56,64.29,49.28,154.96,335.53,1046.42,191.52,399.82,1095.69
27,Narsingdi,366.71,369.47,279.39,2113.17,3511.00,900.60,435.09,1135.55,808.42,2548.26,4646.55,1709.02
28,Rajbari,192.23,173.00,344.00,182.65,37.31,922.10,424.35,1199.69,1625.80,607,1237.00,2547.89
29,Shariatpur,148.35,151.27,47.34,37.67,94.43,14.33,461.17,420.01,281.81,498.84,514.44,296.14
30,Tangail,405.35,509.27,341.18,476.40,1578.08,681.60,1219.72,2750.88,1971.72,1696.12,4328.96,2653.32
Dhaka Division,,3742.83,6873.70,2660.93,8467.73,11386.78,10422.01,10488.94,14265.69,13696.89,18956.67,25652.47,24118.91
31,Bagerhat,110.19,159.51,157.07,56.50,73.93,73.67,524.26,567.33,567.33,580.76,641.26,641.00
32,Chuadanga,35.37,41.30,43.08,75.16,186.13,84.23,114.62,17.73,17.73,189.78,203.86,101.96
33,Jashore,705.93,807.77,373.99,397.56,462.85,450.03,540.41,605.05,605.05,937.97,1067.90,1055.08
34,Jhenaidah,147.01,153.35,164.09,29.33,44.34,47.14,654.90,656.16,656.16,684.23,700.50,703.30
35,Khulna,292.73,293.79,293.80,44.52,44.35,44.62,539.98,540.69,545.10,584.50,585.04,589.72
36,Kushtia,195,195.00,234.00,496.76,522.20,852.74,1265.24,1271.80,2149.50,1762,1794.00,3002.24
37,Magura,121.37,122.47,124.71,135.33,137.96,136.36,1121.37,1161.51,1164.48,1256.70,1299.47,1300.84
38,Meherpur,171.09,169.78,168.68,482.19,480.00,506.06,411.71,434.28,455.50,893.90,914.28,961.57
39,Narail,424,429.57,430.41,57,61.24,60.64,947.40,966.46,951.24,1004.40,1027.70,1011.87
40,Satkhira,483.97,192.85,193.82,203.63,205.01,210.14,211.79,215.11,301.47,415.42,420.12,511.61
Khulna Division,,2686.66,2565.39,2183.65,1977.98,2218.01,2465.63,6331.68,6436.12,7413.55,8310,8654.13,9879.18
