District/ Division,None,2022-23,None,None,None,None,2023-24,None,None,None,None
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,850,343.9903,0.00,0,0,4516,1827.6,36.06,3.33,6079
2,Barishal,61987,25096,51.23,4.723,118537,67556,27340,52.48,4.841,132338
3,Bhola,6931,2805,53.71,4.954,13896,7057,2856,54.75,5.050,14422
4,Jhallokati,2700,1093,46.05,4.247,4641,3403,1377,46.50,4.289,5907
5,Patuakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
6,Pirojpur,32954,13336,49.21,4.539,60533,39387,15940,49.99,4.611,73496
Barishal Division,,105422,42674,50.22,4.631,197606,121919,49340,51.03,4.707,232242
7,Bandarban,6931,2805,47.92,4.420,12397,7333,2968,47.26,4.359,12936
8,Brahmanbaria,26741,10822,55.67,5.135,55569,27098,10966,55.94,5.160,56583
9,Chandpur,23148,9368,56.55,5.216,48862,27353,11070,56.31,5.194,57493
10,Chattogram,44566,18036,49.81,4.594,82861,45199,18292,50.12,4.623,84560
11,Cumilla,52815,21383,50.50,4.656,99558,57116,23115,50.81,4.687,108326
12,Cox’s Bazar,28815,11661,47.56,4.387,51155,29481,11931,49.29,4.546,54241
13,Feni,10735,4344,44.71,4.124,17916,12702,5140,47.04,4.339,22303
14,Khagrachari,9720,3934,44.02,4.060,15972,9752,3947,43.60,4.021,15871
15,Lakshmipur,36016,14581,39.05,3.600,52498,38291,15496,39.74,3.665,56800
16,Noakhali,142924,57864,54.81,5.053,292410,155686,63005,54.93,5.067,319217
17,Rangamati,8627,3491,50.01,4.613,16105,8706,3523,51.07,4.710,16596
Chattogram Division,,391039,158289,51.06,4.708,745303,418717,169452,51.50,4.750,804929
18,Dhaka,1172,474,49.83,4.596,2180,1555,629,50.45,4.653,2928
19,Faridpur,5282,2138,53.01,4.889,10451,5564,2252,55.59,5.127,11545
20,Gazipur,29270,11850,48.02,4.427,52465,29611,11983,48.73,4.495,53861
21,Gopalganj,139983,56673,59.93,5.525,313146,149590,60538,59.91,5.526,334525
22,Kishoreganj,101970,41267,51.83,4.781,197279,105803,42818,52.77,4.867,208407
23,Madaripur,14068,5693,50.66,4.673,26603,17447,7061,48.43,4.467,31540
24,Manikganj,8333,3372,62.16,5.733,19336,9492,3841,62.47,5.762,22134
25,Munshiganj,4239,1715,50.04,4.615,7918,4736,1917,50.67,4.674,8958
26,Narayanganj,2113,855,64.42,5.942,5081,2223,900,64.25,5.926,5331
27,Narsingdi,3413,1382,55.01,5.072,7008,4360,1764,55.18,5.090,8980
28,Rajbari,3948,1598,61.91,5.710,9124,4160,1684,60.15,5.548,9340
29,Shariatpur,5290,2141,55.87,5.153,11032,7311,2959,56.24,5.187,15348
30,Tangail,61477,24880,50.83,4.688,116644,61583,24922,50.37,4.646,115787
Dhaka Division,,380559,154038,54.79,5.052,778267,403435,163268,55.03,5.076,828686
31,Bagerhat,125669,50858,51.94,4.791,243645,128974,52195,51.77,4.775,249234
32,Chuadanga,6359,2573,52.46,4.839,12452,5079,2055,52.48,4.841,9949
33,Jashore,70757,28635,60.73,5.601,160398,71070,28762,61.92,5.711,164265
34,Jhenaidah,23063,9337,58.12,5.359,50034,23273,9418,58.70,5.414,50994
35,Khulna,91534,37058,48.93,4.511,167180,92549,37454,48.63,4.485,167998
36,Kushtia,13458,5446,52.01,4.797,26127,13812,5590,51.98,4.794,26799
37,Magura,18963,7677,49.91,4.602,35328,20581,8329,53.01,4.889,40724
38,Meherpur,5762,2332,52.59,4.851,11311,6251,2530,52.47,4.840,12243
39,Narail,67195,27193,50.31,4.640,126188,69170,27993,50.88,4.693,131369
40,Satkhira,53454,21633,48.09,4.436,95954,55696,22540,48.01,4.428,99812
Khulnam Division,,476214,192743,52.24,4.818,928619,486455,196866,52.50,4.843,953387
41,Jamalpur,124530,50397,51.45,4.746,239159,126513,51199,51.49,4.749,243156
