District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2 023-24
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Bandarban,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Cumilla,11.99,13.00,13.38,0.00,0.00,0.00,10.86,11.4,13.20,10.86,11.4,"13.2
0"
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,29.62,29.52,29.45,0.00,0.00,0.00,91.84,91.84,76.80,91.84,91.84,"76.8
0"
15,Lakshmipur,0.00,0.58,0.70,0.00,0.00,0.00,0.00,1.78,3.24,0.00,1.78,3.24
16,Noakhali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00
17,Rangamati,12.29,13.08,13.89,0.00,0.00,0.00,7.87,9.15,13.19,7.87,9.15,"13.1
9"
Chattogram Division,None,53.90,56.26,57.50,0.00,0.00,0.00,110.57,114.17,106.43,110.57,114.17,106.43
18,Dhaka,0.22,0.18,0.15,0.00,0.00,0.00,0.98,1.13,1.10,0.98,1.13,1.10
19,Faridpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Gazipur,63.00,65.00,66.00,0.00,0.00,0.00,171.30,173.80,179.00,171.3,173.8,179.00
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,8.40,8.00,8.35,0.00,0.00,0.00,32.08,32.83,34.04,32.08,32.83,"34.0
4"
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,1.25,1.14,1.44,0.00,0.00,0.00,4.33,3.91,2.97,4.33,3.91,2.97
26,Narayanganj,2.71,2.61,2.58,7.11,7.048,6.50,22.24,21.43,19.13,29.35,28.478,"25.6
3"
27,Narsingdi,161.50,163.11,164.80,1342.45,1385.64,1350.56,330.06,347.12,399.78,1672.51,1732.76,"1750.3
4"
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,3.94,3.67,3.90,0.00,0.00,0.00,14.03,13.88,14.80,14.03,13.88,"14.8
0"
Dhaka Division,None,241.02,243.71,247.22,1349.56,1392.688,1357.06,575.02,594.1,650.82,1924.58,1986.788,"2007.8
8"
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
