District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,183,245,181,253,184,242
2,Barishal,83,62,0,0,46,191
3,Bhola,4698,3655.39,4711.1,3670.78,4715,3501
4,Jhallokati,135,90,136,87,138,89
5,Patuakhali,1213,608,1230,519.01,1243,503
6,Pirojpur,12,7,15,10,15,10
Barishal Division,None,6324,4667.39,6273.1,4539.79,6341,4536
7,Bandarban,216,150.05,220.5,153.2,222.4,154.49
8,Brahmanbaria,459.6,274.71,428.7,259.21,413.2,243.98
9,Chandpur,258.74,170.85,259.03,175.5,252.71,167.22
10,Chattogram,2192.88,2031.82,2214.39,2036.9,2044.5,1727.84
11,Cumilla,319.4,306.93,328.5,314.3,328.5,314.3
12,Cox’s Bazar,1051.51,1363.44,1167.44,1521.6,1159.19,1557.57
13,Feni,1932.52,1386.9,1932.57,1389.42,1886.1,1396.58
14,Khagrachari,131.2,140.21,129.6,135.65,131.72,141.39
15,Lakshmipur,5767,2765.05,4950.5,3178.99,4403.75,3115.41
16,Noakhali,17701,12121.51,17893,12443.6,18031.5,13152.53
17,Rangamati,82.4,64.01,66.95,64.57,57.6,57.81
Chattogram Division,None,30112.25,20775.48,29591.18,21672.94,28931.17,22029.12
18,Dhaka,265,178.65,254.65,167.75,243.25,157.36
19,Faridpur,5676.55,6309.67,5480.1,6155.32,5475,6079.92
20,Gazipur,103.47,49.21,102.2,48.13,105.41,44.96
21,Gopalganj,1304.45,1111.05,1247.2,1066.83,1331.45,1147.28
22,Kishoreganj,2115.41,1604.22,2112.69,1604.61,2085.67,1581.13
23,Madaripur,339.98,258.1,335.92,253.15,330.66,246.75
24,Manikganj,2713,1469.32,2340.6,1637.44,1561.3,1151.57
25,Munshiganj,183.1,126.89,148.9,106.45,187.1,141.23
26,Narayanganj,530.46,276.99,523,271.86,526,273.96
27,Narsingdi,646.83,337.7,656.38,338.28,645.36,333.62
28,Rajbari,813,882,864,625.85,860,653.87
29,Shariatpur,656.5,707,651,714.5,656.5,733
30,Tangail,2912.8,1630.47,2864.35,1580.35,2822.25,1508.5
Dhaka Division,None,18260.55,14941.27,17580.99,14570.52,16829.95,14053.15
31,Bagerhat,54.5,35.56,47.22,30.6,51,34.76
32,Chuadanga,121.1,69.77,114,63.8,109,60
33,Jashore,17,9,17.77,9.41,15.65,8.19
34,Jhenaidah,739,869.4,723.97,851.84,717.51,847.13
35,Khulna,5,3.6,7.2,9.08,7.6,9.38
36,Kushtia,653,418,682,472,1378,1047
37,Magura,85.5,173.25,90,197.75,91.68,201.39
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,33,26,37,28.46,36.5,28.51
39,Narail,1218,1082.35,1215,1102.04,1215,1104.96
40,Satkhira,0,0,0,0,0,0
Khulna Division,None,2926.1,2686.93,2934.16,2764.98,3621.94,3341.32
41,Jamalpur,989,680,1018,661,880,654
42,Mymensingh,671,447,625,405,590,376
43,Netrokona,295,308,286,306,358,394
44,Sherpur,158,224,117,120,92,96
Mymensingh Division,None,2113,1659,2046,1492,1920,1520
45,Bogura,1194.5,645.42,1094.2,636.42,1340.45,770.75
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,568.4,414.06,713.22,539.6,716.59,550.4
48,Natore,1360.5,1232.85,1348.89,1206.46,1387.42,1293.49
49,Chapai Nawabganj,0,0,55.66,55.1,59,57.86
50,Pabna,1368.5,1162.89,1356,1172.5,1324,1163.5
51,Rajshahi,745.37,655.5,762.32,675.84,771.23,684.32
52,Sirajganj,3500.98,2685.59,3372.8,2713.5,3426.6,2706.97
Rajshahi Division,None,8738.25,6796.31,8703.09,6999.42,9025.29,7227.29
53,Dinajpur,148.2,107.75,159.25,119.93,184,130
54,Gaibandha,1602,1492.09,1522,1444.35,1508,1439
55,Kurigram,3941,2613.47,3844.6,2617.79,2305,1569
56,Lalmonirhat,1134,926.76,1155,944.08,1185,961
57,Nilphamari,347.45,216.6,326.24,212.04,321,223
58,Panchagar,20400,15312.84,20336,15199.33,20975,15881
59,Rangpur,270,207,276,216,301,234
60,Tahkurgaon,145,78.4,152,83.57,151,82
Rangpur Division,None,27987.65,20954.91,27771.09,20837.09,26930,20519
61,Habigonj,72,41.16,71,42.43,72.54,43.32
62,Moulvibazar,44,28.22,47.5,30.66,50.28,32.21
63,Sunamganj,2899,2169,2826,2048,2817,2040
64,Sylhet,27.2,29,31.4,33.02,30.25,22.2
Sylhet Division,None,3042.2,2267.38,2975.9,2154.11,2970.07,2137.73
BANGLADESH,None,99504,74748.67,97875.51,75030.85,96569.42,75363.61
