District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,100.00,117.00,54.00,62.00,51.00,51.00
2,Barishal,520.00,690.00,438.00,518.00,397.00,503.00
3,Bhola,1608.00,3852.00,1566.00,3816.00,1574.00,3862.00
4,Jhallokati,100.00,154.00,106.00,164.00,97.00,157.00
5,Patuakhali,120.00,90.00,122.00,86.00,133.00,155.00
6,Pirojpur,79.00,96.00,80.00,97.00,87.00,113.00
Barishal Division,,2527.00,4999.00,2366.00,4743.00,2339.00,4841.00
7,Bandarban,133.10,203.90,137.00,208.45,123.80,197.41
8,Brahmanbaria,1067.79,3075.17,950.85,2694.57,1052.61,3005.57
9,Chandpur,1933.85,5047.10,1934.10,5135.04,1933.52,5144.76
10,Chattogram,182.36,271.85,177.70,355.04,145.85,352.65
11,Cumilla,698.80,1321.10,706.79,1337.40,351.20,1112.40
12,Cox’s Bazar,59.55,83.57,60.26,85.57,56.61,70.58
13,Feni,25.72,41.19,27.50,93.50,28.40,99.44
14,Khagrachari,62.90,91.77,57.90,83.71,54.30,66.11
15,Lakshmipur,436.00,802.00,360.57,622.00,360.57,622.00
16,Noakhali,544.60,1956.19,551.30,1977.90,563.50,2023.79
17,Rangamati,114.65,239.44,122.47,259.69,130.28,282.22
Chattogram Division,,5259.32,13133.28,5086.44,12852.87,4800.64,12976.93
18,Dhaka,1134.55,4201.43,1146.57,4005.87,1145.00,4000.00
19,Faridpur,100291.00,544492.00,100319.00,544979.54,100392.00,562465.97
20,Gazipur,502.59,988.92,502.48,1019.39,508.10,1033.85
21,Gopalganj,4936.65,10613.17,4974.80,12754.14,5032.50,13010.57
22,Kishoreganj,1354.28,4806.72,1359.32,4874.74,1362.31,4892.57
23,Madaripur,8867.50,39434.42,9030.00,40390.75,10117.00,45807.51
24,Manikganj,16757.95,59720.17,17062.50,59206.15,16883.51,63766.84
25,Munshiganj,489.60,1513.19,484.30,1643.27,483.67,1611.19
26,Narayanganj,634.84,1374.87,633.88,1378.43,642.92,1398.72
27,Narsingdi,324.35,642.31,333.31,658.80,330.32,645.76
28,Rajbari,70757.00,330006.10,70120.00,366498.00,78012.00,453662.50
29,Shariatpur,6601.00,28578.00,7378.00,31792.00,6993.00,30620.00
30,Tangail,2048.55,4608.12,2056.48,4627.44,2060.54,4651.04
Dhaka Division,,214699.86,1030979.42,215400.64,1073828.52,223962.87,1187566.52
31,Bagerhat,341.00,769.51,335.80,757.68,310.50,706.01
32,Chuadanga,1809.50,10275.71,1820.00,10810.20,1841.00,12072.10
33,Jashore,3126.00,13056.16,3023.00,12853.03,3079.00,13085.00
34,Jhenaidah,19100.00,128388.75,18306.00,98588.30,18400.00,100829.80
35,Khulna,289.04,888.24,290.54,890.37,278.78,836.97
36,Kushtia,26845.00,140098.00,27270.00,141877.00,26497.00,157712.00
37,Magura,14565.00,58187.68,16044.00,70969.81,16076.00,75132.92
