District/ Division,None,2022-23,None_1,None_2,None_3,None_4,2023-24,None_5,None_6,None_7,None_8
None,None,Area,None,Yield Rate,None,"Producti
on",Area,None,Yield Rate,None,"Productio
n"
None,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
None,None,None,None,None,None,None,None,None,None,,None
1,Barguna,,0,,,0,135,55,41.20,3.800,208
2,Barishal,,0,,,0,0,0,0.00,0.000,0
3,Bhola,,0,,,0,247,100,37.95,3.500,350
4,Jhallokati,,0,,,0,0,0,0.00,0.000,0
5,Patuakhali,,0,,,0,15,6,36.67,3.290,21
6,Pirojpur,,0,,,0,0,0,0.00,0.000,0
Barishal Division,None,0,0,0.00,0.000,0,397,161,39.01,3.598,578
7,Bandarban,,,,,,4106,1662,41.09,3.790,6298
8,Brahmanbaria,,,,,,73,30,43.35,3.998,119
9,Chandpur,,,,,,402,163,45.21,4.170,678
10,Chattogram,,,,,,13983,5659,40.33,3.720,21050
11,Cumilla,,,,,,19871,8042,41.52,3.830,30797
12,Cox’s Bazar,,,,,,0,0,0.00,0.000,0
13,Feni,,,,,,97,39,40.32,3.719,146
14,Khagrachari,,,,,,59,24,40.66,3.750,90
15,Lakshmipur,,,,,,0,0,0.00,0.000,0
16,Noakhali,,,,,,0,0,0.00,0.000,0
17,Rangamati,,,,,,0,0,0.00,0.000,0
Chattogram Division,None,0,0,0.00,0.000,0,38591,15618,41.08,3.789,59177
18,Dhaka,,,,,,0,0,0.00,,
19,Faridpur,,,,,,0,0,0.00,0.000,0
20,Gazipur,,,,,,79,32,44.45,4.100,131
21,Gopalganj,,,,,,124,50,37.60,3.468,174
22,Kishoreganj,,,,,,2023,819,39.57,3.650,2988
23,Madaripur,,,,,,0,0,0.00,0.000,0
24,Manikganj,,,,,,277,112,44.23,4.080,457
25,Munshiganj,,,,,,0,0,0.00,0.000,0
26,Narayanganj,,,,,,0,0,0.00,0.000,0
27,Narsingdi,,,,,,199,81,39.89,3.679,296
28,Rajbari,,,,,,0,0,0.00,0.000,0
29,Shariatpur,,,,,,334,135,41.63,3.840,519
30,Tangail,,,,,,0,0,0.00,0.000,0
Dhaka Division,None,0,0,0.00,0.000,0,3036,1229,40.29,3.716,4566
31,Bagerhat,,,,,,1972,798,40.87,3.770,3008
32,Chuadanga,,,,,,7627,3087,42.50,3.920,12099
33,Jashore,,,,,,1403,568,39.90,3.680,2089
34,Jhenaidah,,,,,,6118,2476,39.46,3.640,9012
35,Khulna,,,,,,89,36,38.16,3.520,127
36,Kushtia,,,,,,1300,526,40.66,3.750,1972
37,Magura,,,,,,1932,782,38.38,3.540,2768
38,Meherpur,,,,,,9615,3891,60.32,3.540,13774
39,Narail,,,,,,1483,600,40.98,3.780,2269
40,Satkhira,,,,,,1669,675,35.56,3.280,2215
Khulna Division,None,0,0,0.00,0.000,0,33208,13439,39.80,3.671,49335
41,Jamalpur,,,,,,267,108,38.80,2.750,387
None,None,Area,None,None,None,Yield Rate,Area,None,"Producti
on",None,None
None,None,Acres,None,None,Hectors,"Acres
(Maund)",Acres,"Hectors
(M.
Ton)",(M. Ton),None,None
None,None,None,None,None,None,None,None,None,None,None,None
42,Mymensingh,,None,None,,,0,,,None,None
43,Netrokona,,None,None,,,44,,,None,None
44,Sherpur,,None,None,,,57,,,None,None
"Mymensingh
Division",None,0,None,None,0,0.00,368,0.000,0,None,None
45,Bogura,,None,None,,,2706,,,None,None
46,Joypurhat,,None,None,,,57,,,None,None
47,Naogaon,,,,,,,,,1093,
48,Natore,,None,None,,,79,,,None,None
49,"Chapai
Nawabganj",,None,None,,,457,,,None,None
50,Pabna,,None,None,,,0,,,None,None
51,Rajshahi,,None,None,,,7095,,,None,None
52,Sirajganj,,None,None,,,0,,,None,None
Rajshahi Division,None,0,None,None,0,0.00,11487,0.000,0,None,None
53,Dinajpur,,None,None,,,1816,,,None,None
54,Gaibandha,,None,None,,,976,,,None,None
55,Kurigram,,None,None,,,4378,,,None,None
56,Lalmonirhat,,None,None,,,8266,,,None,None
57,Nilphamari,,None,None,,,1025,,,None,None
58,Panchagar,,None,None,,,1865,,,None,None
59,Rangpur,,None,None,,,17467,,,None,None
60,Thakurgaon,,None,None,,,7376,,,None,None
Rangpur Divison,None,0,None,None,0,0.00,43169,0.000,0,None,None
61,Habiganj,,None,None,,,0,,,None,None
62,Moulvibazar,,None,None,,,161,,,None,None
63,Sunamganj,,None,None,,,0,,,None,None
64,Sylhet,,None,None,,,79,,,None,None
Sylhet Division,None,0,None,None,0,0.00,240,0.000,0,None,None
Bangladesh,None,,None,None,0.00,0.00,130496,0.00,0.00,None,None
