District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,834.00,1537.00,747.00,1462.00,755.00,1468.00
2,Barishal,4499.00,5946.00,4621.00,6240.00,4548.00,6091.00
3,Bhola,869.00,2161.00,900.00,1890.00,888.00,2110.00
4,Jhallokati,1155.00,1571.00,1233.00,1689.00,1241.00,1702.00
5,Patuakhali,685.00,1286.00,842.00,1495.00,844.00,1691.00
6,Pirojpur,1124.00,1390.00,1132.00,1408.00,1126.00,1388.00
Barishal Division,None,9166.00,13891.00,9475.00,14184.00,9402.00,14450.00
7,Bandarban,100.00,119.00,100.90,120.48,102.80,122.80
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.00,0.00
9,Chandpur,285.00,844.00,285.41,861.97,285.18,860.13
10,Chattogram,976.00,1798.00,1109.10,2512.98,934.51,1788.18
11,Cumilla,206.00,672.00,208.00,673.80,210.20,677.30
12,Cox’s Bazar,7684.40,17360.98,7660.82,17061.45,6863.60,9525.39
13,Feni,14.00,26.00,31.95,106.53,32.50,113.40
14,Khagrachari,152.00,262.00,155.65,270.52,156.18,272.25
15,Lakshmipur,472.00,992.00,474.00,995.82,476.00,999.82
16,Noakhali,408.00,1600.00,409.07,1600.85,411.43,1645.54
17,Rangamati,188.70,192.17,187.09,191.76,184.15,191.41
Chattogram Division,None,10486.10,23866.15,10621.99,24396.16,9656.55,16196.22
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,141.00,282.00,130.00,265.00,131.50,267.95
20,Gazipur,92.25,645.02,100.15,701.14,100.67,709.33
21,Gopalganj,92.65,232.46,96.58,244.92,99.99,250.31
22,Kishoreganj,172.96,1584.28,167.31,1557.80,166.99,1555.46
23,Madaripur,377.42,1466.14,378.05,1466.96,378.40,1468.74
24,Manikganj,17.90,74.28,18.30,76.13,18.50,78.50
25,Munshiganj,174.60,695.52,175.85,701.85,173.21,694.08
26,Narayanganj,1.92,3.12,1.87,3.01,1.88,2.98
27,Narsingdi,336.20,702.45,336.32,724.09,336.36,725.71
28,Rajbari,253.00,970.00,238.00,828.88,223.00,716.39
29,Shariatpur,1056.00,3611.00,1071.00,3683.00,1072.00,3686.00
30,Tangail,21.94,107.43,20.26,97.29,19.82,95.41
Dhaka Division,None,2737.84,10373.70,2733.69,10350.07,2722.32,10250.86
31,Bagerhat,2366.75,5085.40,2265.50,5036.03,2237.20,4949.64
32,Chuadanga,7019.00,39122.85,7012.00,39102.85,7014.00,39099.88
33,Jashore,1630.00,7143.00,1628.70,7348.59,1620.00,7339.00
34,Jhenaidah,5070.50,32460.70,5152.50,33153.00,5211.50,33447.06
35,Khulna,707.60,2295.86,722.25,2330.35,724.96,2342.46
36,Kushtia,3377.00,19781.00,3420.00,20476.00,3415.00,20480.00
37,Magura,131.35,721.41,127.14,678.93,121.99,650.04
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,261.00,1595.51,249.00,1533.58,245.00,1517.70
39,Narail,1090.00,7897.57,1092.00,7919.90,1092.00,7919.90
40,Satkhira,1330.23,3266.02,1320.26,3235.69,1327.29,3306.53
Khulna Division,None,22983.43,119369.32,22989.35,120814.92,23008.94,121052.21
41,Jamalpur,54.00,131.00,55.00,184.00,58.00,193.00
42,Mymensingh,311.00,1051.00,308.00,1028.00,315.00,1062.00
43,Netrokona,39.00,131.00,2.00,4.00,17.00,23.00
44,Sherpur,55.00,200.00,56.00,209.00,57.00,215.00
Mymensingh Division,None,459.00,1513.00,421.00,1425.00,447.00,1493.00
45,Bogura,58.65,128.90,56.80,131.66,57.54,133.84
46,Joypurhat,213.15,733.16,202.37,1028.23,209.81,733.72
47,Naogaon,51.38,134.67,46.57,116.30,46.47,117.36
48,Natore,245.61,935.52,266.45,1026.67,274.43,1058.83
49,Chapai Nawabganj,31.00,106.52,30.99,109.05,30.99,109.17
50,Pabna,72.65,194.43,71.50,198.00,70.00,199.00
51,Rajshahi,5660.45,29969.00,5726.45,31327.73,5770.45,31364.65
52,Sirajganj,0.00,0.00,0.00,0.00,0.00,0.00
Rajshahi Division,None,6332.89,32202.20,6401.13,33937.64,6459.69,33716.57
53,Dinajpur,117.00,530.00,114.12,553.93,116.00,458.00
54,Gaibandha,323.00,1204.00,338.00,1280.05,341.00,1283.00
55,Kurigram,80.12,135.17,89.30,258.95,93.00,282.00
56,Lalmonirhat,12.96,37.40,13.60,39.60,14.00,46.00
57,Nilphamari,0.00,0.00,0.00,0.00,0.00,0.00
58,Panchagar,93.00,197.76,92.00,195.18,93.00,199.00
59,Rangpur,229.00,376.00,238.52,417.47,242.00,705.00
60,Thakurgaon,0.00,0.00,0.00,0.00,0.00,0.00
Rangpur Divison,None,855.08,2480.33,885.54,2745.18,899.00,2973.00
61,Habiganj,359.00,1388.00,362.00,1389.05,378.00,1420.85
62,Moulvibazar,415.00,1684.00,408.00,1783.25,413.00,1800.26
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,175.00,226.00,188.00,545.00,184.00,538.00
Sylhet Division,None,949.00,3298.00,958.00,3717.30,975.00,3759.11
BANGLADESH,None,53969.34,206993,54485.70,211570.27,53570.50,203890.97
