District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,134.10,118.94,118.57,0.00,0.00,0.00,35.36,36.20,44.00,35.36,36.20,44.00
2,Barishal,219.60,60.00,62.29,0.00,0.00,0.00,245.00,235.00,247.00,245.00,235.00,247.00
3,Bhola,44.35,26.33,29.33,0.00,0.00,0.00,97.95,96.25,94.88,97.95,96.25,94.88
4,Jhallokati,109.00,109.00,106.00,0.00,0.00,0.00,80.00,71.00,76.00,80.00,71.00,76.00
5,Patuakhali,40.46,40.46,40.86,0.00,0.00,0.00,52.44,40.83,42.35,52.44,40.83,42.35
6,Pirojpur,29.60,29.60,30.09,0.00,0.00,0.00,95.89,96.79,100.01,95.89,96.79,100.01
Barishal Division,None,577.11,384.33,387.14,0.00,0.00,0.00,606.64,576.07,604.24,606.64,576.07,604.24
7,Bandarban,291.50,292.00,292.00,28.16,28.18,28.48,136.40,136.82,136.52,164.56,165.00,165.00
8,Brahmanbaria,74.19,64.23,65.50,6.71,0.00,0.00,176.46,187.74,195.10,183.17,187.74,195.10
9,Chandpur,33.31,32.23,32.20,0.00,0.00,0.00,169.56,169.56,170.70,169.56,169.56,170.70
10,Chattogram,65.53,67.04,66.50,0.00,0.00,0.00,414.44,422.45,421.70,414.44,422.45,421.70
11,Cumilla,128.62,129.65,130.40,0.00,0.00,0.00,488.38,507.00,508.80,488.38,507.00,508.80
12,Cox’s Bazar,24.58,32.39,33.50,0.00,0.00,0.00,261.84,263.16,250.20,261.84,263.16,250.20
13,Feni,42.74,43.27,50.10,0.00,0.00,0.00,45.48,47.04,52.60,45.48,47.04,52.60
14,Khagrachari,176.88,164.80,169.70,35.78,35.15,34.71,439.33,446.93,460.89,475.11,482.08,495.60
15,Lakshmipur,47.96,50.57,44.00,0.00,0.00,0.00,270.95,253.52,262.00,270.95,253.52,262.00
16,Noakhali,21.63,31.96,34.20,0.00,0.00,0.00,131.95,143.46,149.90,131.95,143.46,149.90
17,Rangamati,461.50,464.28,466.90,10.05,9.90,9.58,525.95,530.23,515.72,536.00,540.13,525.30
Chattogram Division,None,1368.44,1372.42,1385.00,80.70,73.23,72.77,3060.74,3107.91,3124.13,3141.44,3181.14,3196.90
18,Dhaka,9.02,26.82,23.64,0.00,0.00,0.00,99.23,142.16,137.18,99.23,142.16,137.18
19,Faridpur,42.00,79.00,79.00,0.00,0.00,0.00,65.68,85.65,101.39,65.68,85.65,101.39
20,Gazipur,91.00,92.00,95.00,8.64,8.40,8.43,335.06,340.70,351.47,343.70,349.10,359.90
21,Gopalganj,13.74,12.20,14.09,0.00,0.00,0.00,45.68,57.49,63.10,45.68,57.49,63.10
22,Kishoreganj,105.16,94.92,93.83,16.41,16.00,15.40,508.72,492.92,475.83,525.13,508.92,491.23
23,Madaripur,4.04,4.07,3.95,0.00,0.00,0.00,21.46,21.13,20.82,21.46,21.13,20.82
24,Manikganj,29.62,32.64,35.60,0.00,0.00,0.00,107.30,104.00,117.00,107.30,104.00,117.00
25,Munshiganj,4.70,5.16,8.15,0.00,0.00,0.00,26.45,28.94,45.11,26.45,28.94,45.11
26,Narayanganj,15.51,14.94,14.51,0.00,0.00,0.00,99.69,98.50,97.63,99.69,98.50,97.63
27,Narsingdi,118.39,105.47,104.70,106.76,0.00,0.00,671.98,905.44,875.51,778.74,905.44,875.51
28,Rajbari,5.17,5.13,5.57,0.00,0.00,0.00,36.75,35.27,44.03,36.75,35.27,44.03
29,Shariatpur,10.95,11.13,10.34,0.00,0.00,0.00,90.20,82.30,80.21,90.20,82.30,80.21
30,Tangail,83.85,85.42,83.59,58.96,60.86,59.57,676.84,718.96,698.75,735.80,779.82,758.32
