District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M.Tons ),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Bandarban,183.17,611.73,612.00,523.00,527.03,527.12,146.00,146.33,147.68,669.00,673.36,674.80
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,2.75,4.77,5.18,0.42,6.26,7.52,0.45,0.88,0.88,0.87,7.14,8.40
11,Cumilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Cox’s Bazar,38.31,22.84,22.84,0.00,0.00,0.00,21.85,22.56,22.50,21.85,22.56,22.50
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,433.94,483.17,488.02,864.39,865.98,847.87,104.71,108.94,110.22,969.10,974.92,958.09
15,Lakshmipur,2.16,0.43,0.42,0.00,0.00,0.00,0.41,0.41,0.45,0.41,0.41,0.45
16,Noakhali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Rangamati,378.73,378.49,378.66,957.82,981.17,961.81,207.29,204.40,207.87,1165.11,1185.57,1169.68
Chattogram Division,None,1039.06,1501.43,1507.12,2345.63,2380.44,2344.32,480.71,483.52,489.60,2826.34,2863.96,2833.92
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Gazipur,27.30,20.00,11.00,1.24,1.24,1.24,6.76,7.76,8.76,8.00,9.00,10.00
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,135.39,98.00,42.43,6.07,13.39,13.39,1.22,1.00,1.00,7.29,14.39,14.39
Dhaka Division,None,162.70,118.00,53.43,7.31,14.63,14.63,7.98,8.76,9.76,15.29,23.39,24.39
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,59.44,48.00,31.62,12.33,76.03,164.65,15.07,4.56,12.73,27.40,80.59,177.38
