Crop,2021-22,None,None_1,2022-23,None_2,None_3,2023-24,None_4,None_5
None,"Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
OIL SEEDS (Edible),None,None,None,None,None,None,None,None,None
Til,82,3803,31,78,3974,31,76,809.38,30
Rape & Mustard,817,501.27,410,947,578.29,547,1144,557.44,638
Groundnut,100,751.00,75,98,1541.47,75,96,1564.60,75
Soya bean,145,681.67,99,145,737.09,107,141,755.69,107
Lin Seeds,13,291.24,04,12,297.80,03,11,303.13,03
Coconut,74,52.78,412,75,51.36,404,65,51.05,400
Sunflower,05,520.42,03,06,569.30,04,07,563.84,04
Total Oil Seeds,1236,6601.38,1034,1362,6972.84,1172,1538,817.94,1258
SPICES & CONDIMENT,None,None,None,None,None,None,None,None,None
"Chillies, Kharif",50,2557.15,129,51,3016.43,155,53,3506.46,186
"Chillies, Rabi",193,2574.98,496,189,2685.18,507,191,2934.02,562
Total Chillies,243,5132.13,625,240,5701.61,662,244,3065.57,748
Onion,508,4959.19,2517,503,5064.52,2547,513,5681.01,2917
Garlic,178,2952.43,527,177,3099.16,549,174,3023.60,528
Turmeric,65,3552.86,232,66,3633.74,240,66,3706.88,244
Ginger,26,3187.87,82,26,3259.39,84,26,3240.38,83
Coriander Seeds,51,436.64,22,50,444.97,22,22,471.66,23
CorianderLeaf,9,888.00,8,10,909.54,9,10,921.66,09
Cassia Leaf,10,10.21,01,01,10.28,02,01,11.89,02
Black Cumin,03,333,01,03,483.16,01,03,487.04,01
Capsicum,0.04887,3097.61,0.15138,0.9435,3047.27,.28751,0.11103,2922.35,0.32447
Methi,0.34842,567.22,0.19763,0.328,551.50,.181,0.23912,564.90,0.13508
Mint,0.2543,2499.02,0.06355,0.463,2120.01,0.9822,0.03425,2521.75,0.04637
Joyeen,0.2735,0.3583,0.0098,0.023,0.03131,0.00725,0.00994,252.52,0.00251
"Total Spices &
Condiments",1084,3736,4005,1076,23060.87131,4117,1257,5522,6941
SUGAR CROPS,None,None,None,None,None,None,None,None,None
Sugar Cane,179,17290.57,3087,172,17311.21,2982,167,17530.78,2934
Date Palm(juice),39,53.23,153,18,59.61,168,17,54.44,158
Date Palm (Fruits),22,12.72,40,16,12.67,40,21,12.55,39
Palmyra Palm(Juice),10,79.62,57,09,84.10,59,09,87.27,61
