District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,59.00,25.00,57.00,42.00,38.00,26.00
2,Barishal,380.00,86.00,0.00,0.00,0.00,0.00
3,Bhola,8186.00,4847.00,8191.00,4641.00,8168.00,4475.00
4,Jhallokati,93.00,40.00,98.00,42.00,93.00,41.00
5,Patuakhali,195.00,46.00,193.00,46.00,203.00,46.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,,8913.00,5044.00,8539.00,4771.00,8502.00,4588.00
7,Bandarban,81.50,46.40,83.00,47.26,83.10,47.30
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,13145.63,6163.29,12810.27,4565.94,13661.85,7578.59
11,Cumilla,3.80,2.30,3.80,2.30,4.00,2.60
12,Cox’s Bazar,591.00,332.00,592.56,341.35,596.00,367.00
13,Feni,2604.08,1274.91,2605.18,1288.26,2602.00,1237.50
14,Khagrachari,63.00,15.00,62.60,14.68,58.00,13.00
15,Lakshmipur,1154.00,272.61,1114.45,344.00,1094.00,338.00
16,Noakhali,4042.80,2268.45,4099.89,2363.18,4210.02,2424.59
17,Rangamati,115.64,55.39,120.70,59.10,121.00,59.36
Chattogram Division,,21801.45,10430.35,21492.,9026.07,22429.97,12067.94
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,0.00,0.00,0.00,0.00,0.00,0.00
20,Gazipur,0.00,0.00,0.00,0.00,0.00,0.00
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,0.00,0.00,0.00,0.00,0.00,0.00
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,0.00,0.00,0.00,0.00,0.00,0.00
Dhaka Division,,0.00,0.00,0.00,0.00,0.00,0.00
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,0.00,0.00,0.00,0.00,0.00,0.00
33,Jashore,0.00,0.00,0.00,0.00,0.00,0.00
34,Jhenaidah,0.00,0.00,0.00,0.00,0.00,0.00
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00
37,Magura,0.00,0.00,0.00,0.00,0.00,0.00
