District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(Bale)","Area
(acre)","Production
(Bale)","Area
(acre)","Production
(Bale)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
Barishal Division,,0,0,0,0,0,0
7,Bandarban,10042,837,10042,852.02,10062,853.05
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,0,0,0,0,0,0
11,Cumilla,0,0,0,0,0,0
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachari,2237.34,291.23,2240.34,307.34,2341,317.08
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,4992,1131.05,181.28,1361.71,4856.35,1334.76
Chattogram Division,,17271.34,2259.28,194.43,2521.07,17259.35,2504.89
18,Dhaka,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0
20,Gazipur,140.13,307.55,141.22,312.58,140.69,315.84
21,Gopalganj,0,0,0,0,0,0
22,Kishoreganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,235,1289.17,220,1209.16,205,1113.55
29,Shariatpur,0,0,0,0,0,0
30,Tangail,525.7,1367.43,938.37,1035.36,408.46,998.6
Dhaka Division,,900.83,2964.15,1299.59,2557.1,754.15,2427.99
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,662,2185.98,653.5,2119.4,648,2585.73
33,Jashore,2367,13356.9,1886,10556.83,1931,10879.87
34,Jhenaidah,4737,28317.88,4518,27624.35,4143.18,25278.76
35,Khulna,0,0,0,0,0,0
36,Kushtia,2001,7824.69,1371,6518.19,1253,8287.88
37,Magura,158,397.96,157.61,385.69,167.69,415.55
